,name,gene_reaction_rule,subunit_num,subunit_mw
CYTDK1,ATP:cytidine 5'-phosphotransferase,b2066,1,24.35311
CYTDK2,Cytidine kinase (GTP),b2066,1,24.35311
XPPT,Xanthine phosphoribosyltransferase,b0238,4,16.97059
HXPRT_num1,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0238,4,16.97059
HXPRT_num2,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0125,4 ,20.11524
NDPK5_num1,Nucleoside-diphosphate kinase (ATP:dGDP),b0474,1,23.58602
NDPK5_num2,Nucleoside-diphosphate kinase (ATP:dGDP),b2518,4 ,15.46344
DHORTS,Dihydroorotase,b1062,2,38.82738
OMPDC,Orotidine-5'-phosphate decarboxylase,b1281,2,26.35024
CS,Citrate synthase,b0720,6,48.01499
ICDHyr,Isocitrate dehydrogenase (NADP),b1136,2,45.75671
ACALD_num1,Acetaldehyde dehydrogenase (acetylating),b0351,1,33.44247
ACALD_num2,Acetaldehyde dehydrogenase (acetylating),b1241,40 ,96.12724
ACS,Acetyl-CoA synthetase,b4069,1,72.09359
PPA_num1,Inorganic diphosphatase,b2502,2,58.13597
PPA_num2,Inorganic diphosphatase,b2744,1,26.90043
PPA_num3,Inorganic diphosphatase,b4226,6 ,19.70356
PPCK,Phosphoenolpyruvate carboxykinase,b3403,1,59.64348
ME1,Malic enzyme (NAD),b1479,4,63.19733
ALAR_num1,Alanine racemase,b1190,2,38.84462
ALAR_num2,Alanine racemase,b4053,2 ,39.15294
ALATA_L_num1,L-alanine transaminase,b2290,2,45.51737
ALATA_L_num2,L-alanine transaminase,b2379,2 ,46.21621
XYLK_num1,Xylulokinase,b0063,2,61.08942
XYLK_num2,Xylulokinase,b3564,2 ,52.61823
RBK,Ribokinase,b3752,2,32.29052
GLYK,Glycerol kinase,b3926,4,56.23077
PPM,Phosphopentomutase,b4383,1,44.36996
ASPTA_num1,Aspartate transaminase,b0928,2,43.57336
ASPTA_num2,Aspartate transaminase,b4054,2 ,43.53781
FBP_num1,Fructose-bisphosphatase,b2930,2,34.32343
FBP_num2,Fructose-bisphosphatase,b4232,4,36.83393
FBP_num3,Fructose-bisphosphatase,b3925,2,35.85231
FBP_num4,Fructose-bisphosphatase,b3697,1 ,29.72114
GLGC,Glucose-1-phosphate adenylyltransferase,b3430,4,48.69764
PYK_num1,Pyruvate kinase,b1854,4,51.35714
PYK_num2,Pyruvate kinase,b1676,4 ,50.72942
A5PISO_num1,Arabinose-5-phosphate isomerase,b3197,4,35.19608
A5PISO_num2,Arabinose-5-phosphate isomerase,b2708,4 ,34.03143
IPPMIb,2-isopropylmalate hydratase,b0071 and b0072,1 and 1 ,22.48749 and 49.88183
ACHBS_num1,2-aceto-2-hydroxybutanoate synthase,( b3670 and b3671 ),( 2 and 2 ),( 11.10576 and 60.44057 )
ACHBS_num2,2-aceto-2-hydroxybutanoate synthase,( b0077 and b0078 ),( 2 and 2 ) ,62.98434 and 17.97676
ACLS_num1,Acetolactate synthase,( b0077 and b0078 ),( 2 and 2 ),( 62.98434 and 17.97676 )
ACLS_num2,Acetolactate synthase,( b3670 and b3671 ),( 2 and 2 ) ,11.10576 and 60.44057
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,b0908,1,46.09578
ANS,Anthranilate synthase,b1263 and b1264,2 and 2 ,56.86994 and 57.49446
ANPRT,Anthranilate phosphoribosyltransferase,b1263,2,56.86994
CHORM_num1,Chorismate mutase,b2599,2,43.11136
CHORM_num2,Chorismate mutase,b2600,2 ,42.04252
CHORS,Chorismate synthase,b2329,4,39.13745
IGPS,Indole-3-glycerol-phosphate synthase,b1262,1,49.49233
ECOAH6_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b2341,1,77.07221
ECOAH6_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b3846,2 ,79.59391
ENO,Enolase,b2779,2,45.65495
FBA_num1,Fructose-bisphosphate aldolase,b2925,2,39.14726
FBA_num2,Fructose-bisphosphate aldolase,b2097,10 ,38.10919
MGSA,Methylglyoxal synthase,b0963,6,16.91858
PPS,Phosphoenolpyruvate synthase,b1702,2,87.43508
PGI,Glucose-6-phosphate isomerase,b4025,2,61.52977
PGK,Phosphoglycerate kinase,b2926,1,41.11822
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,b1850,3,22.28403
PGL,6-phosphogluconolactonase,b0767,1,36.30764
RPE,Ribulose 5-phosphate 3-epimerase,b3386,1,24.55425
TALA_num1,Transaldolase,b0008,2,35.21925
TALA_num2,Transaldolase,b2464,1 ,35.6588
TKT1_num1,Transketolase,b2935,2,72.21174
TKT1_num2,Transketolase,b2465,1 ,73.04272
G6PDA,Glucosamine-6-phosphate deaminase,b0678,6,29.7742
ALCD2x_num1,Alcohol dehydrogenase (ethanol),b1241,40,96.12724
ALCD2x_num2,Alcohol dehydrogenase (ethanol),b1478,4 ,35.37957
ALDD2y_num1,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b0493,1,29.41015
ALDD2y_num2,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3011,2,42.09702
ALDD2y_num3,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3588,4,56.30635
ALDD2y_num4,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b3003,1,31.48797
ALDD2y_num5,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b4269,1 ,36.50185
RMI,L-rhamnose isomerase,b3903,4,47.19944
FMNAT,FMN adenylyltransferase,b0025,1,34.73427
NADDP_num1,NAD diphosphatase,b3996,2,29.68894
NADDP_num2,NAD diphosphatase,b2411,1 ,73.60607
NMNAT_num1,Nicotinamide-nucleotide adenylyltransferase,b4390,4,47.34583
NMNAT_num2,Nicotinamide-nucleotide adenylyltransferase,b0639,1 ,24.52795
HMPK1_num1,Hydroxymethylpyrimidine kinase (ATP),b2103,4,28.63361
HMPK1_num2,Hydroxymethylpyrimidine kinase (ATP),b2418,2 ,30.8474
NDPK6_num1,Nucleoside-diphosphate kinase (ATP:dUDP),b0474,1,23.58602
NDPK6_num2,Nucleoside-diphosphate kinase (ATP:dUDP),b2518,4 ,15.46344
NDPK8_num1,Nucleoside-diphosphate kinase (ATP:dADP),b0474,1,23.58602
NDPK8_num2,Nucleoside-diphosphate kinase (ATP:dADP),b2518,4 ,15.46344
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),b3831,6,27.15908
DURIPP_num1,Deoxyuridine phosphorylase,b4382,2,47.20712
DURIPP_num2,Deoxyuridine phosphorylase,b4384,6 ,25.94991
PTRCTA,Putrescine Transaminase,b3073,2,49.66137
CYSDS_num1,Cysteine Desulfhydrase,b3008,4,43.21238
CYSDS_num2,Cysteine Desulfhydrase,b3708,4 ,52.77346
TRPAS2,Tryptophanase (L-tryptophan),b3708,4,52.77346
NDP3_num1,Nucleoside diphosphatase  GDP ,b1134,1,17.43291
NDP3_num2,Nucleoside diphosphatase  GDP ,b3614,1 ,35.35273
CDPPH,CDP phosphohydrolase,b3614,1,35.35273
NDP7,Nucleoside diphosphatase  UDP ,b3614,1,35.35273
PMDPHT_num1,Pyrimidine phosphatase,b0844,1,30.19621
PMDPHT_num2,Pyrimidine phosphatase,b3812,1 ,27.12184
ILETA,Isoleucine transaminase,b3770,6,34.09365
VALTA,Valine transaminase,b3770,6,34.09365
ORPT,Orotate phosphoribosyltransferase,b3642,2,23.567
RBFSa,Riboflavin synthase,b0415,60,16.15651
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",b3771,2,65.53157
G1PP_num1,Glucose-1-phosphatase,b3885,1,22.7318
G1PP_num2,Glucose-1-phosphatase,b2293,1,23.00752
G1PP_num3,Glucose-1-phosphatase,b3697,1 ,29.72114
PFL_num1,Pyruvate formate lyase,( b3951 and b3952 ),( 1 and 1 ),( 85.95977 and 32.42965 )
PFL_num2,Pyruvate formate lyase,( b0902 and b0903 ),( 1 and 2 ),28.20429 and 85.35721
PFL_num3,Pyruvate formate lyase,( b0902 and b3114 ),( 1 and 1 ),28.20429 and 85.93554
PFL_num4,Pyruvate formate lyase,( b0903 and b0902 and b2579 ),( 2 and 1 and 1 ) ,85.35721 and 28.20429 and 14.28419
FRD2,Fumarate reductase,b4153 and b4152 and b4151 and b4154,1 and 1 and 1 and 1 ,27.12306 and 15.01505 and 13.10693 and 65.9716
FRD3,Fumarate reductase,b4153 and b4152 and b4151 and b4154,1 and 1 and 1 and 1 ,27.12306 and 15.01505 and 13.10693 and 65.9716
POX,Pyruvate oxidase,b0871,4,62.01138
PTAr_num1,Phosphotransacetylase,b2297,6,77.17209
PTAr_num2,Phosphotransacetylase,b2458,2 ,36.06673
ACKr_num1,Acetate kinase,b1849,1,42.43368
ACKr_num2,Acetate kinase,b2296,1,43.29045
ACKr_num3,Acetate kinase,b3115,1 ,43.38411
MOAT,3-deoxy-D-manno-octulosonic acid transferase,b3633,1,47.29108
UDCPDPS,Undecaprenyl diphosphate synthase,b0174,2,28.44414
USHD,UDP-sugar hydrolase,b0524,1,26.89418
LPADSS,Lipid A disaccaride synthase,b0182,2,42.38245
TDSK,Tetraacyldisaccharide 4'kinase,b0915,1,35.58929
NTPP1_num1,Nucleoside triphosphate pyrophosphorylase (dgtp),b0099,1,14.92707
NTPP1_num2,Nucleoside triphosphate pyrophosphorylase (dgtp),b2781,2 ,30.4123
NTPP2_num1,Nucleoside triphosphate pyrophosphorylase (gtp),b0099,1,14.92707
NTPP2_num2,Nucleoside triphosphate pyrophosphorylase (gtp),b2781,2 ,30.4123
NTPTP1,Nucleoside triphosphate tripolyhydrolase,b0160,6,59.38294
NTPTP2,Nucleoside triphosphate tripolyhydrolase,b0160,6,59.38294
IPMD_num1,3-isopropylmalate dehydrogenase,b0073,2,39.51701
IPMD_num2,3-isopropylmalate dehydrogenase,b1800,1 ,40.31493
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),b0523,8,17.78032
ADSL2r,Adenylosuccinate lyase,b1131,4,51.54281
PUNP5_num1,Purine-nucleoside phosphorylase (Inosine),b2407,6,29.83462
PUNP5_num2,Purine-nucleoside phosphorylase (Inosine),b4384,6 ,25.94991
PUNP6_num1,Purine-nucleoside phosphorylase (Deoxyinosine),b4384,6,25.94991
PUNP6_num2,Purine-nucleoside phosphorylase (Deoxyinosine),b2407,6 ,29.83462
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),b2407,6,29.83462
RNDR1_num1,Ribonucleoside-diphosphate reductase (ADP),( b2582 and b2235 and b2234 ),( 1 and 2 and 2 ),( 15.55477 and 43.51727 and 85.77528 )
RNDR1_num2,Ribonucleoside-diphosphate reductase (ADP),( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ) ,11.80662 and 43.51727 and 85.77528
RNDR3_num1,Ribonucleoside-diphosphate reductase (CDP),( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ),( 11.80662 and 43.51727 and 85.77528 )
RNDR3_num2,Ribonucleoside-diphosphate reductase (CDP),( b2582 and b2235 and b2234 ),( 1 and 2 and 2 ) ,15.55477 and 43.51727 and 85.77528
RNDR4_num1,Ribonucleoside-diphosphate reductase (UDP),( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ),( 11.80662 and 43.51727 and 85.77528 )
RNDR4_num2,Ribonucleoside-diphosphate reductase (UDP),( b2235 and b2234 and b2582 ),( 2 and 2 and 1 ) ,43.51727 and 85.77528 and 15.55477
TMDS,Thymidylate synthase,b2827,2,30.47969
TMDK1,Thymidine kinase (ATP:thymidine),b1238,1,23.45658
PPCDC,Phosphopantothenoylcysteine decarboxylase,b3639,12,43.43814
FTHFD,Formyltetrahydrofolate deformylase,b1232,6,31.93472
EDD,6-phosphogluconate dehydratase,b1851,1,64.63902
DHQTi,"3-dehydroquinate dehydratase, irreversible",b1693,2,27.46665
PUNP1,Purine-nucleoside phosphorylase (Adenosine),b4384,6,25.94991
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),b4384,6,25.94991
PUNP3_num1,Purine-nucleoside phosphorylase (Guanosine),b2407,6,29.83462
PUNP3_num2,Purine-nucleoside phosphorylase (Guanosine),b4384,6 ,25.94991
LYSAM,"Lysine 2,3-aminomutase",b4146,1,38.74962
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",b3771,2,65.53157
IPPMIa,3-isopropylmalate dehydratase,b0071 and b0072,1 and 1 ,22.48749 and 49.88183
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),b2242 and b2243 and b2241,1 and 1 and 1 ,45.35724 and 44.10804 and 58.95825
NADH9_num1,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b0046,2,20.16998
NADH9_num2,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b1109,1,47.35867
NADH9_num3,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b1004,4,20.84556
NADH9_num4,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b3713,2 ,20.37556
NADH10_num1,NADH dehydrogenase (menaquinone-8 & 0 protons),b0046,2,20.16998
NADH10_num2,NADH dehydrogenase (menaquinone-8 & 0 protons),b1109,1,47.35867
NADH10_num3,NADH dehydrogenase (menaquinone-8 & 0 protons),b3713,2,20.37556
NADH10_num4,NADH dehydrogenase (menaquinone-8 & 0 protons),b1004,4 ,20.84556
MDH,Malate dehydrogenase,b3236,2,32.3373
FUM_num1,Fumarase,b4122,2,60.10532
FUM_num2,Fumarase,b1612,2,60.29858
FUM_num3,Fumarase,b1611,4 ,50.48888
PYDXNK,Pyridoxine kinase,b2418,2,30.8474
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,b1638,2,25.54515
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,b0907,2,39.78331
GLUTRR,Glutamyl-tRNA reductase,b1210,2,46.30682
GLCS1,Glycogen synthase (ADPGlc),b3429,1,52.82243
GLCP_num1,Glycogen phosphorylase,b3428,2,93.17256
GLCP_num2,Glycogen phosphorylase,b3417,2 ,90.5224
HEMEOS,Heme O synthase,b0428,1,32.2485
ADMDC,Adenosylmethionine decarboxylase,b0120,1,30.38464
AGMT,Agmatinase,b2937,2,33.55704
ARGDC,Arginine decarboxylase,b4117,10,84.42524
ARGSS,Argininosuccinate synthase,b3172,4,49.8984
AGPR,N-acetyl-g-glutamyl-phosphate reductase,b3958,1,35.95213
SPMS,Spermidine synthase,b0121,2,32.32139
G1SAT,Glutamate-1-semialdehyde aminotransferase,b0154,2,45.3661
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,b0918,1,27.61444
OAADC,Oxaloacetate decarboxylase,b1850,3,22.28403
MNNH,D-mannonate hydrolyase,b4322,1,44.83802
ALTRH,Altronate hydrolase,b3091,1,54.09308
GUI1,Glucuronate isomerase (D-glucuronate),b3092,1,53.98718
PGAMT,Phosphoglucosamine mutase,b3176,1,47.54357
UAGDP,UDP-N-acetylglucosamine diphosphorylase,b3730,3,49.19008
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189,1,44.81765
GLUR,Glutamate racemase,b3967,1,31.00195
UAG2E,UDP-N-acetylglucosamine 2-epimerase,b3786,2,42.24459
MACPD,Malonyl-ACP decarboxylase,b2323,2,42.61332
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,b2232,2,26.55545
ICHORS_copy1,,b0593,1,42.93165
HACD5_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b3846,2,79.59391
HACD5_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b2341,1 ,77.07221
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,b0142,1,18.07879
PTPATi,Pantetheine-phosphate adenylyltransferase,b3634,6,17.83663
HEX7,Hexokinase (D-fructose:ATP),b0394,1,32.49975
DXPRIi,1-deoxy-D-xylulose reductoisomerase,b0173,2,43.38798
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,b3843,6,55.60375
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,b2232,2,26.55545
GHMT2r,"Glycine hydroxymethyltransferase, reversible",b2551,2,45.31659
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),b0945,1,36.77452
ADK4,Adentylate kinase (ITP),b0474,1,23.58602
INSK,Insosine kinase,b0477,2,48.44878
ABTA_num1,4-aminobutyrate transaminase,b2662,2,45.77463
ABTA_num2,4-aminobutyrate transaminase,b1302,1 ,44.72907
SSALx,Succinate-semialdehyde dehydrogenase (NAD),b1525,2,49.71786
ASPT,L-aspartase,b4139,4,52.35613
SERD_L_num1,L-serine deaminase,b3708,4,52.77346
SERD_L_num2,L-serine deaminase,b1814,1,48.90665
SERD_L_num3,L-serine deaminase,b4471,2,48.52165
SERD_L_num4,L-serine deaminase,b2797,1,48.75292
SERD_L_num5,L-serine deaminase,b3117,4 ,35.23241
THRD_num1,L-threonine dehydrogenase,b3616,4,37.23904
THRD_num2,L-threonine dehydrogenase,b3589,1 ,40.35133
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",b3774,4,54.06902
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),b3774,4,54.06902
ACCOAC,Acetyl-CoA carboxylase,b3256 and b2316 and b3255 and b0185,2 and 2 and 1 and 2 ,49.32074 and 33.32189 and 16.68721 and 35.24154
NADK,NAD kinase,b2615,6,32.56638
ICHORS_copy2,,b2265,2,48.76455
SUCBZS,O-succinylbenzoate-CoA synthase,b2261,1,35.47661
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,4,26.24966
ICHORT,Isochorismatase,b0595,1,32.55434
RBK_L1,L-ribulokinase (L-ribulose),b0063,2,61.08942
RBP4E_num1,L-ribulose-phosphate 4-epimerase,b4198,1,25.27774
RBP4E_num2,L-ribulose-phosphate 4-epimerase,b0061,4,25.51891
RBP4E_num3,L-ribulose-phosphate 4-epimerase,b3583,1 ,25.56087
NTD2_num1,5'-nucleotidase (UMP),b4374,1,25.30062
NTD2_num2,5'-nucleotidase (UMP),b2744,1,26.90043
NTD2_num3,5'-nucleotidase (UMP),b0675,1 ,27.1631
NTD4_num1,5'-nucleotidase (CMP),b2744,1,26.90043
NTD4_num2,5'-nucleotidase (CMP),b0675,1 ,27.1631
NTD5_num1,5'-nucleotidase (dTMP),b2291,2,22.70806
NTD5_num2,5'-nucleotidase (dTMP),b2744,1,26.90043
NTD5_num3,5'-nucleotidase (dTMP),b4374,1,25.30062
NTD5_num4,5'-nucleotidase (dTMP),b2361,1 ,20.25544
NTD6_num1,5'-nucleotidase (dAMP),b2291,2,22.70806
NTD6_num2,5'-nucleotidase (dAMP),b2744,1,26.90043
NTD6_num3,5'-nucleotidase (dAMP),b2361,1 ,20.25544
LGTHL,Lactoylglutathione lyase,b1651,2,14.91985
PYDXPP_num1,Pyridoxal 5-phosphate phosphatase,b0766,1,30.20131
PYDXPP_num2,Pyridoxal 5-phosphate phosphatase,b0446,1,30.37091
PYDXPP_num3,Pyridoxal 5-phosphate phosphatase,b3826,1,29.70773
PYDXPP_num4,Pyridoxal 5-phosphate phosphatase,b0675,1 ,27.1631
PDXPP,Pyridoxine 5-phosphate phosphatase,b0766,1,30.20131
HACD6_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b3846,2,79.59391
HACD6_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b2341,1 ,77.07221
ECOAH1_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b2341,1,77.07221
ECOAH1_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b3846,2 ,79.59391
ECOAH2_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b2341,1,77.07221
ECOAH2_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b3846,2 ,79.59391
ECOAH3_num1,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b2341,1,77.07221
ECOAH3_num2,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b3846,2 ,79.59391
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,b0758,2,39.64568
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,b0420,2,67.61694
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,b1208,2,30.92537
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,3,16.89754
DDGLK,2-dehydro-3-deoxygluconokinase,b3526,1,33.96236
XYLI2,Xylose isomerase,b3565,4,49.74201
PMANM,Phosphomannomutase,b2048,1,50.46258
ICL,Isocitrate lyase,b4015,4,47.52157
GLYCL,Glycine Cleavage System,b0116 and b2904 and b2903 and b2905,2 and 1 and 2 and 1 ,50.68849 and 13.8112 and 104.37635 and 40.14671
HCYSMT,Homocysteine S-methyltransferase,b0261,1,33.42283
UDPG4E,UDPglucose 4-epimerase,b0759,2,37.26511
LACZ,B-galactosidase,b0344,4,116.48286
TRE6PH,Trehalose-6-phosphate hydrolase,b4239,1,63.83767
XYLI1,Xylose isomerase,b3565,4,49.74201
PPC,Phosphoenolpyruvate carboxylase,b3956,4,99.06261
G3PT_num1,Glycerol-3-phosphatase,b0822,1,30.41283
G3PT_num2,Glycerol-3-phosphatase,b0675,1 ,27.1631
CINNDO,Cinnamate dioxygenase,b2540 and b2542 and b2538 and b2539,1 and 1 and 1 and 1 ,11.32877 and 43.97822 and 51.10921 and 20.57925
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",b2541,1,28.4996
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",b2541,1,28.4996
CITL,Citrate lyase,b0614 and b0615 and b0617 and b0616,1 and 6 and 6 and 6 ,20.27036 and 55.17272 and 10.68928 and 33.10966
GOFUCR,GDP-4-oxo-L-fucose reductase,b2052,2,36.14114
PYDXK_num1,Pyridoxal kinase,b2418,2,30.8474
PYDXK_num2,Pyridoxal kinase,b1636,2 ,31.3222
GTPCII2,GTP cyclohydrolase II (25drapp),b1277,2,21.83598
SADT2,Sulfate adenyltransferase,b2752 and b2751,4 and 4 ,35.18831 and 52.55847
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",b2799,2,40.51337
ALCD19_num1,Alcohol dehydrogenase (glycerol),b1478,4,35.37957
ALCD19_num2,Alcohol dehydrogenase (glycerol),b1241,40 ,96.12724
RMPA,Rhamnulose-1-phosphate aldolase,b3902,4,30.14549
SBTPD,Sorbitol-6-phosphate dehydrogenase,b2705,4,27.85788
PFK_2,Phosphofructokinase,b3916,4,34.84204
GLTPD,Galactitol-1-phosphate dehydrogenase,b2091,2,37.39014
TGBPA_num1,Tagatose-bisphosphate aldolase,( b3132 and b3137 ),( 1 and 4 ),( 47.19243 and 31.29368 )
TGBPA_num2,Tagatose-bisphosphate aldolase,( b2095 and b2096 ),( 1 and 1 ) ,47.10872 and 30.81193
MANAO,Mannonate oxidoreductase,b4323,1,53.58018
TAGURr,Tagaturonate reductase,b1521,1,54.80832
PGLYCP,Phosphoglycolate phosphatase,b3385,1,27.38917
GLXCL,Glyoxalate carboligase,b0507,2,64.73174
TARTD,L(+)-tartrate dehydratase,b3062 and b3061,2 and 2 ,22.67946 and 32.73356
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,b3126,6,27.38416
KAS14_num1,Beta-ketoacyl-ACP synthase,b2323,2,42.61332
KAS14_num2,Beta-ketoacyl-ACP synthase,b1095,2 ,43.04576
EDTXS1,Endotoxin Synthesis (lauroyl transferase),b1054,1,35.40682
EDTXS2,Endotoxin Synthesis (myristoyl transferase),b1855,1,37.41038
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),b2378,1,35.49339
EDTXS4,Endotoxin Synthesis (myristoyl transferase),b1855,1,37.41038
NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),b0109,2,32.76207
HACD4_num1,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),b3846,2,79.59391
HACD4_num2,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),b2341,1 ,77.07221
