,name,gene_reaction_rule,subunit_mw,subunit_num
RPE,Ribulose 5-phosphate 3-epimerase,b3386,24.55425,1
TALA,Transaldolase,b0008 or b2464,35.21925 or 35.6588 ,2 or 1 
TKT1,Transketolase,b2935 or b2465,72.21174 or 73.04272 ,2 or 1 
G6PDA,Glucosamine-6-phosphate deaminase,b0678,29.7742,6
ALCD2x,Alcohol dehydrogenase (ethanol),b1241 or b1478,96.12724 or 35.37957 ,40 or 4 
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b0493 or b3011 or b3588 or b3003 or b4269,29.41 or 42.097 or 56.30635 or 31.488 or 36.502 ,1 or 2 or 4 or 1 or 1 
RMI,L-rhamnose isomerase,b3903,47.19944,4
FMNAT,FMN adenylyltransferase,b0025,34.73427,1
NADDP,NAD diphosphatase,b3996 or b2411,29.68894 or 73.60607 ,2 or 1 
NMNAT,Nicotinamide-nucleotide adenylyltransferase,b4390 or b0639,47.34583 or 24.52795 ,4 or 1 
HMPK1,Hydroxymethylpyrimidine kinase (ATP),b2103 or b2418,28.63361 or 30.8474 ,4 or 2 
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),b3831,27.15908,6
DURIPP,Deoxyuridine phosphorylase,b4382 or b4384,47.20712 or 25.94991 ,2 or 6 
PTRCTA,Putrescine Transaminase,b3073,49.66137,2
CYSDS,Cysteine Desulfhydrase,b3008 or b3708,43.21238 or 52.77346 ,4 or 4 
TRPAS2,Tryptophanase (L-tryptophan),b3708,52.77346,4
NDP3,Nucleoside diphosphatase  GDP ,b1134 or b3614,17.43291 or 35.353 ,1 or 1 
CDPPH,CDP phosphohydrolase,b3614,35.353,1
NDP7,Nucleoside diphosphatase  UDP ,b3614,35.353,1
PMDPHT,Pyrimidine phosphatase,b0844 or b3812,30.196 or 27.122 ,1 or 1 
ILETA,Isoleucine transaminase,b3770,34.09365,6
VALTA,Valine transaminase,b3770,34.09365,6
ORPT,Orotate phosphoribosyltransferase,b3642,23.567,2
RBFSa,Riboflavin synthase,b0415,16.15651,60
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",b3771,65.53157,2
G1PP,Glucose-1-phosphatase,b3885 or b2293 or b3697,22.732 or 23.007 or 29.721 ,1 or 1 or 1 
PFL,Pyruvate formate lyase,( b3951 and b3952 ) or ( b0902 and b0903 ) or ( b0902 and b3114 ) or ( b0903 and b0902 and b2579 ),( 85.95977 and 32.42965 ) or ( 28.20429 and 85.35721 ) or ( 28.20429 and 85.93554 ) or ( 85.35721 and 28.20429 and 14.28419 ) ,( 1 and 1 ) or ( 1 and 2 ) or ( 1 and 1 ) or ( 2 and 1 and 1 ) 
FRD2,Fumarate reductase,b4153 and b4152 and b4151 and b4154,27.12306 and 15.01505 and 13.10693 and 65.9716 ,1 and 1 and 1 and 1 
FRD3,Fumarate reductase,b4153 and b4152 and b4151 and b4154,27.12306 and 15.01505 and 13.10693 and 65.9716 ,1 and 1 and 1 and 1 
POX,Pyruvate oxidase,b0871,62.01138,4
PTAr,Phosphotransacetylase,b2297 or b2458,77.17209 or 36.06673 ,6 or 2 
ACKr,Acetate kinase,b1849 or b2296 or b3115,42.43368 or 43.29045 or 43.38411 ,1 or 1 or 1 
MOAT,3-deoxy-D-manno-octulosonic acid transferase,b3633,47.29108,1
UDCPDPS,Undecaprenyl diphosphate synthase,b0174,28.44414,2
USHD,UDP-sugar hydrolase,b0524,26.89418,1
LPADSS,Lipid A disaccaride synthase,b0182,42.38245,2
TDSK,Tetraacyldisaccharide 4'kinase,b0915,35.58929,1
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),b0099 or b2781,14.92707 or 30.4123 ,1 or 2 
NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),b0099 or b2781,14.92707 or 30.4123 ,1 or 2 
NTPTP1,Nucleoside triphosphate tripolyhydrolase,b0160,59.38294,6
NTPTP2,Nucleoside triphosphate tripolyhydrolase,b0160,59.38294,6
IPMD,3-isopropylmalate dehydrogenase,b0073 or b1800,39.51701 or 40.31493 ,2 or 1 
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),b0523,17.78032,8
ADSL2r,Adenylosuccinate lyase,b1131,51.54281,4
PUNP5,Purine-nucleoside phosphorylase (Inosine),b2407 or b4384,29.83462 or 25.94991 ,6 or 6 
PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),b4384 or b2407,25.94991 or 29.83462 ,6 or 6 
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),b2407,29.83462,6
RNDR1,Ribonucleoside-diphosphate reductase (ADP),( b2582 and b2235 and b2234 ) or ( b3781 and b2235 and b2234 ),( 15.55477 and 43.51727 and 85.77528 ) or ( 11.80662 and 43.51727 and 85.77528 ) ,( 1 and 2 and 2 ) or ( 1 and 2 and 2 ) 
RNDR3,Ribonucleoside-diphosphate reductase (CDP),( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 ),( 11.80662 and 43.51727 and 85.77528 ) or ( 15.55477 and 43.51727 and 85.77528 ) ,( 1 and 2 and 2 ) or ( 1 and 2 and 2 ) 
RNDR4,Ribonucleoside-diphosphate reductase (UDP),( b3781 and b2235 and b2234 ) or ( b2235 and b2234 and b2582 ),( 11.80662 and 43.51727 and 85.77528 ) or ( 43.51727 and 85.77528 and 15.55477 ) ,( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) 
TMDS,Thymidylate synthase,b2827,30.47969,2
TMDK1,Thymidine kinase (ATP:thymidine),b1238,23.45658,1
PPCDC,Phosphopantothenoylcysteine decarboxylase,b3639,43.43814,12
FTHFD,Formyltetrahydrofolate deformylase,b1232,31.93472,6
EDD,6-phosphogluconate dehydratase,b1851,64.63902,1
DHQTi,"3-dehydroquinate dehydratase, irreversible",b1693,27.46665,2
PUNP1,Purine-nucleoside phosphorylase (Adenosine),b4384,25.94991,6
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),b4384,25.94991,6
PUNP3,Purine-nucleoside phosphorylase (Guanosine),b2407 or b4384,29.83462 or 25.94991 ,6 or 6 
LYSAM,"Lysine 2,3-aminomutase",b4146,38.75,1
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",b3771,65.53157,2
IPPMIa,3-isopropylmalate dehydratase,b0071 and b0072,22.48749 and 49.88183 ,1 and 1 
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),b2242 and b2243 and b2241,45.35724 and 44.10804 and 58.95825 ,1 and 1 and 1 
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b0046 or b1109 or b1004 or b3713,20.17 or 47.35867 or 20.846 or 20.376 ,2 or 1 or 4 or 2 
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),b0046 or b1109 or b3713 or b1004,20.17 or 47.35867 or 20.376 or 20.846 ,2 or 1 or 2 or 4 
MDH,Malate dehydrogenase,b3236,32.3373,2
FUM,Fumarase,b4122 or b1612 or b1611,60.10532 or 60.29858 or 50.48888 ,2 or 2 or 4 
PYDXNK,Pyridoxine kinase,b2418,30.8474,2
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,b1638,25.54515,2
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,b0907,39.78331,2
GLUTRR,Glutamyl-tRNA reductase,b1210,46.30682,2
GLCS1,Glycogen synthase (ADPGlc),b3429,52.82243,1
GLCP,Glycogen phosphorylase,b3428 or b3417,93.17256 or 90.5224 ,2 or 2 
HEMEOS,Heme O synthase,b0428,32.2485,1
ADMDC,Adenosylmethionine decarboxylase,b0120,30.38464,1
AGMT,Agmatinase,b2937,33.55704,2
ARGDC,Arginine decarboxylase,b4117,84.42524,10
ARGSS,Argininosuccinate synthase,b3172,49.8984,4
AGPR,N-acetyl-g-glutamyl-phosphate reductase,b3958,35.95213,1
SPMS,Spermidine synthase,b0121,32.32139,2
G1SAT,Glutamate-1-semialdehyde aminotransferase,b0154,45.3661,2
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,b0918,27.61444,1
OAADC,Oxaloacetate decarboxylase,b1850,22.28403,3
MNNH,D-mannonate hydrolyase,b4322,44.83802,1
ALTRH,Altronate hydrolase,b3091,54.09308,1
GUI1,Glucuronate isomerase (D-glucuronate),b3092,53.98718,1
PGAMT,Phosphoglucosamine mutase,b3176,47.54357,1
UAGDP,UDP-N-acetylglucosamine diphosphorylase,b3730,49.19008,3
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189,44.81765,1
GLUR,Glutamate racemase,b3967,31.00195,1
UAG2E,UDP-N-acetylglucosamine 2-epimerase,b3786,42.24459,2
MACPD,Malonyl-ACP decarboxylase,b2323,42.61332,2
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,b2232,26.55545,2
ICHORS_copy1,,b0593,42.93165,1
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,b0142,18.07879,1
PTPATi,Pantetheine-phosphate adenylyltransferase,b3634,17.83663,6
HEX7,Hexokinase (D-fructose:ATP),b0394,32.49975,1
DXPRIi,1-deoxy-D-xylulose reductoisomerase,b0173,43.38798,2
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,b3843,55.60375,6
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,b2232,26.55545,2
GHMT2r,"Glycine hydroxymethyltransferase, reversible",b2551,45.31659,2
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),b0945,36.77452,1
ADK4,Adentylate kinase (ITP),b0474,23.58602,1
INSK,Insosine kinase,b0477,48.44878,2
ABTA,4-aminobutyrate transaminase,b2662 or b1302,45.77463 or 44.72907 ,2 or 1 
SSALx,Succinate-semialdehyde dehydrogenase (NAD),b1525,49.71786,2
ASPT,L-aspartase,b4139,52.35613,4
SERD_L,L-serine deaminase,b3708 or b1814 or b4471 or b2797 or b3117,52.77346 or 48.90665 or 48.52165 or 48.75292 or 35.232 ,4 or 1 or 2 or 1 or 4 
THRD,L-threonine dehydrogenase,b3616 or b3589,37.23904 or 40.351 ,4 or 1 
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",b3774,54.06902,4
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),b3774,54.06902,4
ACCOAC,Acetyl-CoA carboxylase,b3256 and b2316 and b3255 and b0185,49.32074 and 33.32189 and 16.68721 and 35.24154 ,2 and 2 and 1 and 2 
NADK,NAD kinase,b2615,32.56638,6
ICHORS_copy2,,b2265,48.76455,2
SUCBZS,O-succinylbenzoate-CoA synthase,b2261,35.47661,1
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,26.24966,4
ICHORT,Isochorismatase,b0595,32.55434,1
RBK_L1,L-ribulokinase (L-ribulose),b0063,61.08942,2
RBP4E,L-ribulose-phosphate 4-epimerase,b4198 or b0061 or b3583,25.27774 or 25.51891 or 25.56087 ,1 or 4 or 1 
NTD2,5'-nucleotidase (UMP),b4374 or b2744 or b0675,25.30062 or 26.90043 or 27.163 ,1 or 1 or 1 
NTD4,5'-nucleotidase (CMP),b2744 or b0675,26.90043 or 27.163 ,1 or 1 
NTD5,5'-nucleotidase (dTMP),b2291 or b2744 or b4374 or b2361,22.70806 or 26.90043 or 25.30062 or 20.255 ,2 or 1 or 1 or 1 
NTD6,5'-nucleotidase (dAMP),b2291 or b2744 or b2361,22.70806 or 26.90043 or 20.255 ,2 or 1 or 1 
LGTHL,Lactoylglutathione lyase,b1651,14.91985,2
PYDXPP,Pyridoxal 5-phosphate phosphatase,b0766 or b0446 or b3826 or b0675,30.20131 or 30.37091 or 29.70773 or 27.163 ,1 or 1 or 1 or 1 
PDXPP,Pyridoxine 5-phosphate phosphatase,b0766,30.20131,1
HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,b0758,39.64568,2
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,b0420,67.61694,2
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,b1208,30.92537,2
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,16.89754,3
DDGLK,2-dehydro-3-deoxygluconokinase,b3526,33.96236,1
XYLI2,Xylose isomerase,b3565,49.74201,4
PMANM,Phosphomannomutase,b2048,50.46258,1
ICL,Isocitrate lyase,b4015,47.52157,4
GLYCL,Glycine Cleavage System,b0116 and b2904 and b2903 and b2905,50.68849 and 13.8112 and 104.37635 and 40.14671 ,2 and 1 and 2 and 1 
HCYSMT,Homocysteine S-methyltransferase,b0261,33.42283,1
UDPG4E,UDPglucose 4-epimerase,b0759,37.26511,2
LACZ,B-galactosidase,b0344,116.48286,4
TRE6PH,Trehalose-6-phosphate hydrolase,b4239,63.83767,1
XYLI1,Xylose isomerase,b3565,49.74201,4
PPC,Phosphoenolpyruvate carboxylase,b3956,99.06261,4
G3PT,Glycerol-3-phosphatase,b0822 or b0675,30.41283 or 27.163 ,1 or 1 
CINNDO,Cinnamate dioxygenase,b2540 and b2542 and b2538 and b2539,11.32877 and 43.97822 and 51.10921 and 20.57925 ,1 and 1 and 1 and 1 
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",b2541,28.4996,1
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",b2541,28.4996,1
CITL,Citrate lyase,b0614 and b0615 and b0617 and b0616,20.27036 and 55.17272 and 10.68928 and 33.10966 ,1 and 6 and 6 and 6 
GOFUCR,GDP-4-oxo-L-fucose reductase,b2052,36.14114,2
PYDXK,Pyridoxal kinase,b2418 or b1636,30.8474 or 31.3222 ,2 or 2 
GTPCII2,GTP cyclohydrolase II (25drapp),b1277,21.83598,2
SADT2,Sulfate adenyltransferase,b2752 and b2751,35.18831 and 52.55847 ,4 and 4 
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",b2799,40.51337,2
ALCD19,Alcohol dehydrogenase (glycerol),b1478 or b1241,35.37957 or 96.12724 ,4 or 40 
RMPA,Rhamnulose-1-phosphate aldolase,b3902,30.14549,4
SBTPD,Sorbitol-6-phosphate dehydrogenase,b2705,27.85788,4
PFK_2,Phosphofructokinase,b3916,34.84204,4
GLTPD,Galactitol-1-phosphate dehydrogenase,b2091,37.39014,2
TGBPA,Tagatose-bisphosphate aldolase,( b3132 and b3137 ) or ( b2095 and b2096 ),( 47.19243 and 31.29368 ) or ( 47.10872 and 30.81193 ) ,( 1 and 4 ) or ( 1 and 1 ) 
MANAO,Mannonate oxidoreductase,b4323,53.58018,1
TAGURr,Tagaturonate reductase,b1521,54.80832,1
PGLYCP,Phosphoglycolate phosphatase,b3385,27.38917,1
GLXCL,Glyoxalate carboligase,b0507,64.73174,2
TARTD,L(+)-tartrate dehydratase,b3062 and b3061,22.67946 and 32.73356 ,2 and 2 
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,b3126,27.38416,6
KAS14,Beta-ketoacyl-ACP synthase,b2323 or b1095,42.61332 or 43.04576 ,2 or 2 
EDTXS1,Endotoxin Synthesis (lauroyl transferase),b1054,35.40682,1
EDTXS2,Endotoxin Synthesis (myristoyl transferase),b1855,37.41038,1
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),b2378,35.49339,1
EDTXS4,Endotoxin Synthesis (myristoyl transferase),b1855,37.41038,1
NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),b0109,32.76207,2
HACD4,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
HACD7,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
AACPS1,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),b1094 and b2836,8.63952 and 80.70002 ,1 and 1 
SDPDS,Succinyl-diaminopimelate desuccinylase,b2472,41.26901,2
DMSOR1,Dimethyl sulfoxide reductase (Menaquinol 8),( b1588 and b1589 and b1590 and b1587 ) or ( b0896 and b0895 and b0894 ),( 89.98705 and 22.75175 and 30.52367 and 89.78001 ) or ( 30.82622 and 22.86894 and 90.39861 ) ,( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 ) 
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",b3553,35.3955,2
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),b3553,35.3955,2
RZ5PP,Alpha-ribazole 5-phosphate phosphatase,b0638,23.30847,1
NTD9,5'-nucleotidase (GMP),b2361 or b2744 or b3399 or b0675,20.255 or 26.90043 or 25.399 or 27.163 ,1 or 1 or 1 or 1 
NTD10,5'-nucleotidase (XMP),b2744,26.90043,1
ADPT,Adenine phosphoribosyltransferase,b0469,19.85888,2
ADK1,Adenylate kinase,b0474,23.58602,1
OCTDPS,Octaprenyl pyrophosphate synthase,b3187,35.21697,2
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),b1094 and b2836,8.63952 and 80.70002 ,1 and 1 
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),b1094 and b2836,8.63952 and 80.70002 ,1 and 1 
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),b2836 and b1094,80.70002 and 8.63952 ,1 and 1 
AMANK,N-acetyl-D-mannosamine kinase,b3222,29.64386,1
ACNML,N-Acetylneuraminate lyase,b3225,32.59347,4
CAT,Catalase,b1732 or b3942,84.16261 or 80.02382 ,4 or 4 
SERASr,(L-seryl)adenylate synthase,b0586,141.99095,1
DMSOR2,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),b0896 and b0895 and b0894,30.82622 and 22.86894 and 90.39861 ,1 and 1 and 1 
ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,b3794,27.92818,1
DDGALK,2-dehydro-3-deoxygalactonokinase,b3693,31.37357,1
AB6PGH,Arbutin 6-phosphate glucohydrolase,b3721 or b2901 or b2716,53.161 or 55.36077 or 53.935 ,1 or 1 or 1 
AMALT1,Amylomaltase (maltotriose),b3416,78.50349,1
MLTP2,Maltodextrin phosphorylase (maltohexaose),b3417,90.5224,2
PACCOAL,Phenylacetate-CoA ligase,b1398,48.95286,1
GP4GH,Gp4G hydrolase,b0049,31.29672,1
ACGAMT,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,b3784,40.95724,2
AADDGT,"DTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase",b4481,40.63959,1
GMHEPK,D-glycero-D-manno-heptose 7-phosphate kinase,b3052,51.05062,2
TRE6PS,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",b1896,53.61119,1
UDCPDP,Undecaprenyl-diphosphatase,b1278 or b0841 or b3057,29.02126 or 22.39865 or 29.75876 ,1 or 1 or 1 
TREH,"Alpha,alpha-trehalase",b3519,63.69671,1
CYTK1,Cytidylate kinase (CMP),b0910,24.74634,1
CYTK2,Cytidylate kinase (dCMP),b0910,24.74634,1
GK1,Guanylate kinase (GMP:ATP),b3648,23.59271,2
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
HACD2,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),b3846 or b2341,79.59391 or 77.07221 ,2 or 1 
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,( b2222 and b2221 ) or b1694,( 22.95965 and 23.52621 ) or 57.562 ,( 2 and 2 ) or 1 
BUTCT,Acetyl-CoA:butyrate-CoA transferase,b2222 and b2221,22.95965 and 23.52621 ,2 and 2 
2DGULRx,2-dehydro-L-gulonate reductase (NADH),b3553,35.3955,2
G1PTT,Glucose-1-phosphate thymidylyltransferase,b2039 or b3789,32.69356 or 32.73441 ,4 or 4 
TDPGDH,"DTDPglucose 4,6-dehydratase",b3788 or b2041,39.75385 or 40.55833 ,1 or 2 
UDPGALM,UDPgalactopyranose mutase,b2036,42.96588,1
TDPDRE,"DTDP-4-dehydrorhamnose 3,5-epimerase",b2038,21.27011,1
