,name,gene_reaction_rule,subunit_num
URIK2,Uridine kinase (GTP:Uridine),b2066,1
CYTDK1,ATP:cytidine 5'-phosphotransferase,b2066,1
CYTDK2,Cytidine kinase (GTP),b2066,1
XPPT,Xanthine phosphoribosyltransferase,b0238,4
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0238 or b0125,4 or 4 
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),b0474 or b2518,1 or 4 
DHORTS,Dihydroorotase,b1062,2
OMPDC,Orotidine-5'-phosphate decarboxylase,b1281,2
CS,Citrate synthase,b0720,6
ICDHyr,Isocitrate dehydrogenase (NADP),b1136,2
ACALD,Acetaldehyde dehydrogenase (acetylating),b0351 or b1241,1 or 40 
ACS,Acetyl-CoA synthetase,b4069,1
PPA,Inorganic diphosphatase,b2502 or b2744 or b4226,2 or 1 or 6 
PPCK,Phosphoenolpyruvate carboxykinase,b3403,1
ME1,Malic enzyme (NAD),b1479,4
ALAR,Alanine racemase,b1190 or b4053,2 or 2 
ALATA_L,L-alanine transaminase,b2290 or b2379,2 or 2 
XYLK,Xylulokinase,b0063 or b3564,2 or 2 
RBK,Ribokinase,b3752,2
GLYK,Glycerol kinase,b3926,4
PPM,Phosphopentomutase,b4383,1
ASPTA,Aspartate transaminase,b0928 or b4054,2 or 2 
FBP,Fructose-bisphosphatase,b2930 or b4232 or b3925 or b3697,2 or 4 or 2 or 1 
GLGC,Glucose-1-phosphate adenylyltransferase,b3430,4
PYK,Pyruvate kinase,b1854 or b1676,4 or 4 
A5PISO,Arabinose-5-phosphate isomerase,b3197 or b2708,4 or 4 
IPPMIb,2-isopropylmalate hydratase,b0071 and b0072,1 and 1 
ACHBS,2-aceto-2-hydroxybutanoate synthase,( b3670 and b3671 ) or ( b0077 and b0078 ),( 2 and 2 ) or ( 2 and 2 ) 
ACLS,Acetolactate synthase,( b0077 and b0078 ) or ( b3670 and b3671 ),( 2 and 2 ) or ( 2 and 2 ) 
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,b0908,1
ANS,Anthranilate synthase,b1263 and b1264,2 and 2 
ANPRT,Anthranilate phosphoribosyltransferase,b1263,2
CHORM,Chorismate mutase,b2599 or b2600,2 or 2 
CHORS,Chorismate synthase,b2329,4
IGPS,Indole-3-glycerol-phosphate synthase,b1262,1
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b2341 or b3846,1 or 2 
ENO,Enolase,b2779,2
FBA,Fructose-bisphosphate aldolase,b2925 or b2097,2 or 10 
MGSA,Methylglyoxal synthase,b0963,6
PPS,Phosphoenolpyruvate synthase,b1702,2
PGI,Glucose-6-phosphate isomerase,b4025,2
PGK,Phosphoglycerate kinase,b2926,1
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,b1850,3
PGL,6-phosphogluconolactonase,b0767,1
RPE,Ribulose 5-phosphate 3-epimerase,b3386,1
TALA,Transaldolase,b0008 or b2464,2 or 1 
TKT1,Transketolase,b2935 or b2465,2 or 1 
G6PDA,Glucosamine-6-phosphate deaminase,b0678,6
ALCD2x,Alcohol dehydrogenase (ethanol),b1241 or b1478,40 or 4 
ALDD2y,"Aldehyde dehydrogenase (acetaldehyde, NADP)",b0493 or b3011 or b3588 or b3003 or b4269,1 or 2 or 4 or 1 or 1 
RMI,L-rhamnose isomerase,b3903,4
FMNAT,FMN adenylyltransferase,b0025,1
NADDP,NAD diphosphatase,b3996 or b2411,2 or 1 
NMNAT,Nicotinamide-nucleotide adenylyltransferase,b4390 or b0639,4 or 1 
HMPK1,Hydroxymethylpyrimidine kinase (ATP),b2103 or b2418,4 or 2 
NDPK6,Nucleoside-diphosphate kinase (ATP:dUDP),b0474 or b2518,1 or 4 
NDPK8,Nucleoside-diphosphate kinase (ATP:dADP),b0474 or b2518,1 or 4 
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),b3831,6
DURIPP,Deoxyuridine phosphorylase,b4382 or b4384,2 or 6 
PTRCTA,Putrescine Transaminase,b3073,2
CYSDS,Cysteine Desulfhydrase,b3008 or b3708,4 or 4 
TRPAS2,Tryptophanase (L-tryptophan),b3708,4
NDP3,Nucleoside diphosphatase  GDP ,b1134 or b3614,1 or 1 
CDPPH,CDP phosphohydrolase,b3614,1
NDP7,Nucleoside diphosphatase  UDP ,b3614,1
PMDPHT,Pyrimidine phosphatase,b0844 or b3812,1 or 1 
ILETA,Isoleucine transaminase,b3770,6
VALTA,Valine transaminase,b3770,6
ORPT,Orotate phosphoribosyltransferase,b3642,2
RBFSa,Riboflavin synthase,b0415,60
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",b3771,2
G1PP,Glucose-1-phosphatase,b3885 or b2293 or b3697,1 or 1 or 1 
PFL,Pyruvate formate lyase,( b3951 and b3952 ) or ( b0902 and b0903 ) or ( b0902 and b3114 ) or ( b0903 and b0902 and b2579 ),( 1 and 1 ) or ( 1 and 2 ) or ( 1 and 1 ) or ( 2 and 1 and 1 ) 
FRD2,Fumarate reductase,b4153 and b4152 and b4151 and b4154,1 and 1 and 1 and 1 
FRD3,Fumarate reductase,b4153 and b4152 and b4151 and b4154,1 and 1 and 1 and 1 
POX,Pyruvate oxidase,b0871,4
PTAr,Phosphotransacetylase,b2297 or b2458,6 or 2 
ACKr,Acetate kinase,b1849 or b2296 or b3115,1 or 1 or 1 
MOAT,3-deoxy-D-manno-octulosonic acid transferase,b3633,1
UDCPDPS,Undecaprenyl diphosphate synthase,b0174,2
USHD,UDP-sugar hydrolase,b0524,1
LPADSS,Lipid A disaccaride synthase,b0182,2
TDSK,Tetraacyldisaccharide 4'kinase,b0915,1
NTPP1,Nucleoside triphosphate pyrophosphorylase (dgtp),b0099 or b2781,1 or 2 
NTPP2,Nucleoside triphosphate pyrophosphorylase (gtp),b0099 or b2781,1 or 2 
NTPTP1,Nucleoside triphosphate tripolyhydrolase,b0160,6
NTPTP2,Nucleoside triphosphate tripolyhydrolase,b0160,6
IPMD,3-isopropylmalate dehydrogenase,b0073 or b1800,2 or 1 
AIRC3,Phosphoribosylaminoimidazole carboxylase (mutase rxn),b0523,8
ADSL2r,Adenylosuccinate lyase,b1131,4
PUNP5,Purine-nucleoside phosphorylase (Inosine),b2407 or b4384,6 or 6 
PUNP6,Purine-nucleoside phosphorylase (Deoxyinosine),b4384 or b2407,6 or 6 
PUNP7,Purine-nucleoside phosphorylase (Xanthosine),b2407,6
RNDR1,Ribonucleoside-diphosphate reductase (ADP),( b2582 and b2235 and b2234 ) or ( b3781 and b2235 and b2234 ),( 1 and 2 and 2 ) or ( 1 and 2 and 2 ) 
RNDR3,Ribonucleoside-diphosphate reductase (CDP),( b3781 and b2235 and b2234 ) or ( b2582 and b2235 and b2234 ),( 1 and 2 and 2 ) or ( 1 and 2 and 2 ) 
RNDR4,Ribonucleoside-diphosphate reductase (UDP),( b3781 and b2235 and b2234 ) or ( b2235 and b2234 and b2582 ),( 1 and 2 and 2 ) or ( 2 and 2 and 1 ) 
TMDS,Thymidylate synthase,b2827,2
TMDK1,Thymidine kinase (ATP:thymidine),b1238,1
PPCDC,Phosphopantothenoylcysteine decarboxylase,b3639,12
FTHFD,Formyltetrahydrofolate deformylase,b1232,6
EDD,6-phosphogluconate dehydratase,b1851,1
DHQTi,"3-dehydroquinate dehydratase, irreversible",b1693,2
PUNP1,Purine-nucleoside phosphorylase (Adenosine),b4384,6
PUNP2,Purine-nucleoside phosphorylase (Deoxyadenosine),b4384,6
PUNP3,Purine-nucleoside phosphorylase (Guanosine),b2407 or b4384,6 or 6 
LYSAM,"Lysine 2,3-aminomutase",b4146,1
DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",b3771,2
IPPMIa,3-isopropylmalate dehydratase,b0071 and b0072,1 and 1 
G3PD7,Glycerol-3-phosphate dehydrogenase (demethylmenaquinone-8),b2242 and b2243 and b2241,1 and 1 and 1 
NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons),b0046 or b1109 or b1004 or b3713,2 or 1 or 4 or 2 
NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons),b0046 or b1109 or b3713 or b1004,2 or 1 or 2 or 4 
MDH,Malate dehydrogenase,b3236,2
FUM,Fumarase,b4122 or b1612 or b1611,2 or 2 or 4 
PYDXNK,Pyridoxine kinase,b2418,2
PYAM5PO,Pyridoxamine 5'-phosphate oxidase,b1638,2
OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase,b0907,2
GLUTRR,Glutamyl-tRNA reductase,b1210,2
GLCS1,Glycogen synthase (ADPGlc),b3429,1
GLCP,Glycogen phosphorylase,b3428 or b3417,2 or 2 
HEMEOS,Heme O synthase,b0428,1
ADMDC,Adenosylmethionine decarboxylase,b0120,1
AGMT,Agmatinase,b2937,2
ARGDC,Arginine decarboxylase,b4117,10
ARGSS,Argininosuccinate synthase,b3172,4
AGPR,N-acetyl-g-glutamyl-phosphate reductase,b3958,1
SPMS,Spermidine synthase,b0121,2
G1SAT,Glutamate-1-semialdehyde aminotransferase,b0154,2
KDOCT2,3-deoxy-manno-octulosonate cytidylyltransferase,b0918,1
OAADC,Oxaloacetate decarboxylase,b1850,3
MNNH,D-mannonate hydrolyase,b4322,1
ALTRH,Altronate hydrolase,b3091,1
GUI1,Glucuronate isomerase (D-glucuronate),b3092,1
PGAMT,Phosphoglucosamine mutase,b3176,1
UAGDP,UDP-N-acetylglucosamine diphosphorylase,b3730,3
UAGCVT,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,b3189,1
GLUR,Glutamate racemase,b3967,1
UAG2E,UDP-N-acetylglucosamine 2-epimerase,b3786,2
MACPD,Malonyl-ACP decarboxylase,b2323,2
DMQMT,3-Dimethylubiquinonol 3-methyltransferase,b2232,2
ICHORS_copy1,,b0593,1
HACD5,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),b3846 or b2341,2 or 1 
HPPK2,6-hydroxymethyl-dihydropterin pyrophosphokinase,b0142,1
PTPATi,Pantetheine-phosphate adenylyltransferase,b3634,6
HEX7,Hexokinase (D-fructose:ATP),b0394,1
DXPRIi,1-deoxy-D-xylulose reductoisomerase,b0173,2
OPHBDC,Octaprenyl-hydroxybenzoate decarboxylase,b3843,6
OHPHM,2-octaprenyl-6-hydroxyphenol methylase,b2232,2
GHMT2r,"Glycine hydroxymethyltransferase, reversible",b2551,2
DHORD2,Dihydoorotic acid dehydrogenase (quinone8),b0945,1
ADK4,Adentylate kinase (ITP),b0474,1
INSK,Insosine kinase,b0477,2
ABTA,4-aminobutyrate transaminase,b2662 or b1302,2 or 1 
SSALx,Succinate-semialdehyde dehydrogenase (NAD),b1525,2
ASPT,L-aspartase,b4139,4
SERD_L,L-serine deaminase,b3708 or b1814 or b4471 or b2797 or b3117,4 or 1 or 2 or 1 or 4 
THRD,L-threonine dehydrogenase,b3616 or b3589,4 or 1 
KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",b3774,4
KARA2,Ketol-acid reductoisomerase (2-Acetolactate),b3774,4
ACCOAC,Acetyl-CoA carboxylase,b3256 and b2316 and b3255 and b0185,2 and 2 and 1 and 2 
NADK,NAD kinase,b2615,6
ICHORS_copy2,,b2265,2
SUCBZS,O-succinylbenzoate-CoA synthase,b2261,1
DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,4
ICHORT,Isochorismatase,b0595,1
RBK_L1,L-ribulokinase (L-ribulose),b0063,2
RBP4E,L-ribulose-phosphate 4-epimerase,b4198 or b0061 or b3583,1 or 4 or 1 
NTD2,5'-nucleotidase (UMP),b4374 or b2744 or b0675,1 or 1 or 1 
NTD4,5'-nucleotidase (CMP),b2744 or b0675,1 or 1 
NTD5,5'-nucleotidase (dTMP),b2291 or b2744 or b4374 or b2361,2 or 1 or 1 or 1 
NTD6,5'-nucleotidase (dAMP),b2291 or b2744 or b2361,2 or 1 or 1 
LGTHL,Lactoylglutathione lyase,b1651,2
PYDXPP,Pyridoxal 5-phosphate phosphatase,b0766 or b0446 or b3826 or b0675,1 or 1 or 1 or 1 
PDXPP,Pyridoxine 5-phosphate phosphatase,b0766,1
HACD6,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),b3846 or b2341,2 or 1 
ECOAH1,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),b2341 or b3846,1 or 2 
ECOAH2,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),b2341 or b3846,1 or 2 
ECOAH3,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),b2341 or b3846,1 or 2 
UGLT,UDPglucose--hexose-1-phosphate uridylyltransferase,b0758,2
DXPS,1-deoxy-D-xylulose 5-phosphate synthase,b0420,2
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,b1208,2
MECDPS,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",b2746,3
DDGLK,2-dehydro-3-deoxygluconokinase,b3526,1
XYLI2,Xylose isomerase,b3565,4
PMANM,Phosphomannomutase,b2048,1
ICL,Isocitrate lyase,b4015,4
GLYCL,Glycine Cleavage System,b0116 and b2904 and b2903 and b2905,2 and 1 and 2 and 1 
HCYSMT,Homocysteine S-methyltransferase,b0261,1
UDPG4E,UDPglucose 4-epimerase,b0759,2
LACZ,B-galactosidase,b0344,4
TRE6PH,Trehalose-6-phosphate hydrolase,b4239,1
XYLI1,Xylose isomerase,b3565,4
PPC,Phosphoenolpyruvate carboxylase,b3956,4
G3PT,Glycerol-3-phosphatase,b0822 or b0675,1 or 1 
CINNDO,Cinnamate dioxygenase,b2540 and b2542 and b2538 and b2539,1 and 1 and 1 and 1 
DHPPD,"2,3-dihydroxyphenylpropionate dehydrogenase",b2541,1
DHCIND,"2,3-dihydroxycinnamate dehydrogenase",b2541,1
CITL,Citrate lyase,b0614 and b0615 and b0617 and b0616,1 and 6 and 6 and 6 
GOFUCR,GDP-4-oxo-L-fucose reductase,b2052,2
PYDXK,Pyridoxal kinase,b2418 or b1636,2 or 2 
GTPCII2,GTP cyclohydrolase II (25drapp),b1277,2
SADT2,Sulfate adenyltransferase,b2752 and b2751,4 and 4 
LCARS,"Lacaldehyde reductase (S-propane-1,2-diol forming)",b2799,2
ALCD19,Alcohol dehydrogenase (glycerol),b1478 or b1241,4 or 40 
RMPA,Rhamnulose-1-phosphate aldolase,b3902,4
SBTPD,Sorbitol-6-phosphate dehydrogenase,b2705,4
PFK_2,Phosphofructokinase,b3916,4
GLTPD,Galactitol-1-phosphate dehydrogenase,b2091,2
TGBPA,Tagatose-bisphosphate aldolase,( b3132 and b3137 ) or ( b2095 and b2096 ),( 1 and 4 ) or ( 1 and 1 ) 
MANAO,Mannonate oxidoreductase,b4323,1
TAGURr,Tagaturonate reductase,b1521,1
PGLYCP,Phosphoglycolate phosphatase,b3385,1
GLXCL,Glyoxalate carboligase,b0507,2
TARTD,L(+)-tartrate dehydratase,b3062 and b3061,2 and 2 
GLCRAL,5-dehydro-4-deoxyglucarate aldolase,b3126,6
KAS14,Beta-ketoacyl-ACP synthase,b2323 or b1095,2 or 2 
EDTXS1,Endotoxin Synthesis (lauroyl transferase),b1054,1
EDTXS2,Endotoxin Synthesis (myristoyl transferase),b1855,1
EDTXS3,Endotoxin Synthesis (palmitoleoyl ACP),b2378,1
EDTXS4,Endotoxin Synthesis (myristoyl transferase),b1855,1
NNDPR,Nicotinate-nucleotide diphosphorylase (carboxylating),b0109,2
HACD4,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),b3846 or b2341,2 or 1 
HACD7,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),b2341 or b3846,1 or 2 
AACPS1,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),b1094 and b2836,1 and 1 
SDPDS,Succinyl-diaminopimelate desuccinylase,b2472,2
DMSOR1,Dimethyl sulfoxide reductase (Menaquinol 8),( b1588 and b1589 and b1590 and b1587 ) or ( b0896 and b0895 and b0894 ),( 1 and 1 and 1 and 1 ) or ( 1 and 1 and 1 ) 
DKGLCNR2y,"2,5-diketo-D-gluconate reductase (NADPH)",b3553,2
2DGULRy,2-dehydro-L-gulonate reductase (NADPH),b3553,2
RZ5PP,Alpha-ribazole 5-phosphate phosphatase,b0638,1
NTD9,5'-nucleotidase (GMP),b2361 or b2744 or b3399 or b0675,1 or 1 or 1 or 1 
NTD10,5'-nucleotidase (XMP),b2744,1
ADPT,Adenine phosphoribosyltransferase,b0469,2
ADK1,Adenylate kinase,b0474,1
OCTDPS,Octaprenyl pyrophosphate synthase,b3187,2
AACPS2,Acyl-[acyl-carrier-protein] synthetase  (n-C14:1),b1094 and b2836,1 and 1 
AACPS3,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),b1094 and b2836,1 and 1 
AACPS4,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),b2836 and b1094,1 and 1 
AMANK,N-acetyl-D-mannosamine kinase,b3222,1
ACNML,N-Acetylneuraminate lyase,b3225,4
CAT,Catalase,b1732 or b3942,4 or 4 
SERASr,(L-seryl)adenylate synthase,b0586,1
DMSOR2,Dimethyl sulfoxide reductase (Demethylmenaquinol 8),b0896 and b0895 and b0894,1 and 1 and 1 
ACMAMUT,UDP-N-acetyl-D-mannosaminuronic acid transferase,b3794,1
DDGALK,2-dehydro-3-deoxygalactonokinase,b3693,1
AB6PGH,Arbutin 6-phosphate glucohydrolase,b3721 or b2901 or b2716,1 or 1 or 1 
AMALT1,Amylomaltase (maltotriose),b3416,1
MLTP2,Maltodextrin phosphorylase (maltohexaose),b3417,2
PACCOAL,Phenylacetate-CoA ligase,b1398,1
GP4GH,Gp4G hydrolase,b0049,1
ACGAMT,UDP-N-acetylglucosamine:undecaprenylphosphate N-acetylglucosamine -1-phosphate transferase,b3784,2
AADDGT,"DTDP-N-4-acetamido-4,6-dideoxy-D-galactose transferase",b4481,1
GMHEPK,D-glycero-D-manno-heptose 7-phosphate kinase,b3052,2
TRE6PS,"Alpha,alpha-trehalose-phosphate synthase (UDP-forming)",b1896,1
UDCPDP,Undecaprenyl-diphosphatase,b1278 or b0841 or b3057,1 or 1 or 1 
TREH,"Alpha,alpha-trehalase",b3519,1
CYTK1,Cytidylate kinase (CMP),b0910,1
CYTK2,Cytidylate kinase (dCMP),b0910,1
GK1,Guanylate kinase (GMP:ATP),b3648,2
HACD1,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),b3846 or b2341,2 or 1 
HACD2,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),b3846 or b2341,2 or 1 
ACACCT,Acetyl-CoA:acetoacetyl-CoA transferase,( b2222 and b2221 ) or b1694,( 2 and 2 ) or 1 
BUTCT,Acetyl-CoA:butyrate-CoA transferase,b2222 and b2221,2 and 2 
2DGULRx,2-dehydro-L-gulonate reductase (NADH),b3553,2
G1PTT,Glucose-1-phosphate thymidylyltransferase,b2039 or b3789,4 or 4 
TDPGDH,"DTDPglucose 4,6-dehydratase",b3788 or b2041,1 or 2 
UDPGALM,UDPgalactopyranose mutase,b2036,1
TDPDRE,"DTDP-4-dehydrorhamnose 3,5-epimerase",b2038,1
TDPDRR,DTDP-4-dehydrorhamnose reductase,b2040,1
G3PD6,Glycerol-3-phosphate dehydrogenase (menaquinone-8),b2242 and b2243 and b2241,1 and 1 and 1 
ALLTN,Allantoinase,b0512,4
UAPGR,UDP-N-acetylenolpyruvoylglucosamine reductase,b3972,1
NDPK7,Nucleoside-diphosphate kinase (ATP:dCDP),b0474 or b2518,1 or 4 
GLYAT,Glycine C-acetyltransferase,b3617,2
ADNUC,Adenosine hydrolase,b0030,1
GMHEPPA,"D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase",b0200,1
S7PI,Sedoheptulose 7-phosphate isomerase,b0222,4
TRPS3,Tryptophan synthase (indoleglycerol phosphate),b1260 and b1261,2 and 2 
CRNBTCT,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,b0038,2
CRNCBCT,Crotonobetainyl-CoA: carnitine CoA transferase,b0038,2
CRNCDH,Carnityl-CoA dehydratse,b0036,1
FADRx,FAD reductase,b3844,1
GTPDPK,GTP diphosphokinase,b2784,1
NDPK2,Nucleoside-diphosphate kinase (ATP:UDP),b0474 or b2518,1 or 4 
NDPK3,Nucleoside-diphosphate kinase (ATP:CDP),b2518 or b0474,4 or 1 
NDPK4,Nucleoside-diphosphate kinase (ATP:dTDP),b0474 or b2518,1 or 4 
FCLT,Ferrochelatase,b2431 or b0475 or b1019,1 or 1 or 2 
HBZOPT,Hydroxybenzoate octaprenyltransferase,b4040,1
PNTK,Pantothenate kinase,b3974,2
DPCOAK,Dephospho-CoA kinase,b0103,1
HETZK,Hydroxyethylthiazole kinase,b2104,2
KDOPS,3-deoxy -D-manno-octulosonic -acid 8-phosphate synthase,b1215,4
KDOPP,3-deoxy-manno-octulosonate-8-phosphatase,b3198,4
AST,Arginine succinyltransferase,b1747,1
SGDS,Succinylglutamate desuccinylase,b1744,1
CYNTAH,Cyanate aminohydrolase,b0340,10
GSPMDA,Glutathionylspermidine amidase,b2988,2
GSPMDS,Glutathionylspermidine synthetase,b2988,2
GUAD,Guanine deaminase,b2883,1
TMAOR1,Trimethylamine N-oxide reductase (menaquinol 8),( b0896 and b0895 and b0894 ) or ( b1588 and b1589 and b1590 and b1587 ),( 1 and 1 and 1 ) or ( 1 and 1 and 1 and 1 ) 
TMAOR2,Trimethylamine N-oxide reductase (demethylmenaquinol 8),b0896 and b0895 and b0894,1 and 1 and 1 
DGK1,Deoxyguanylate kinase (dGMP:ATP),b3648,2
DTMPK,DTMP kinase,b1098,1
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),b0474 or b2518,1 or 4 
TRDR,Thioredoxin reductase (NADPH),( b0888 and b3781 ) or ( b2582 and b0888 ),( 2 and 1 ) or ( 1 and 2 ) 
PGMT,Phosphoglucomutase,b0688 or b2690 or b1317,1 or 1 or 1 
FRUK,Fructose-1-phosphate kinase,b2168,2
RHCCE,S-ribosylhomocysteine cleavage enzyme,b2687,1
KG6PDC,3-keto-L-gulonate 6-phosphate decarboxylase,b4196 or b3581,2 or 1 
X5PL3E,L-xylulose 5-phosphate 3-epimerase,b4197 or b3582,1 or 1 
DOGULNR,"2,3 dioxo-L-gulonate reductase",b3575,2
BETALDHx,Betaine-aldehyde dehydrogenase,b0312,4
BETALDHy,Betaine-aldehyde dehydrogenase,b0312,4
MLTG3,Maltodextrin glucosidase (maltopentaose),b0403,1
DKGLCNR1,"2,5-diketo-D-gluconate reductase",b3012 or b0207,1 or 1 
NADTRHD,NAD transhydrogenase,b3962,8
FMNRx2,FMN reductase,b0937 or b3844 or b2764,2 or 1 or 8
ACPS1,Acyl-carrier protein synthase,b2563 or b3475,2 or 1 
GMPS2,GMP synthase,b2507,2
AMPN,AMP nucleosidase,b1982,6
GSNK,Guanosine kinase,b0477,2
ADCS,4-amino-4-deoxychorismate synthase,b1812 and b3360,1 and 1 
ADCL,4-aminobenzoate synthase,b1096 or b4039,2 or 1 
DHAPT,Dihydroxyacetone phosphotransferase,b2415 and b1198 and b1200 and b2416 and b1199,1 and 2 and 2 and 2 and 2 
UMPK,UMP kinase,b0910 or b0171,1 or 6 
DDPGALA,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,b4477,1
DURIK1,Deoxyuridine kinase (ATP:Deoxyuridine),b1238,1
UPPRT,Uracil phosphoribosyltransferase,b2498,3
CTPS2,CTP synthase (glutamine),b2780,4
NTD1,5'-nucleotidase (dUMP),b2291 or b2744 or b4374 or b2361,2 or 1 or 1 or 1 
NTD7,5'-nucleotidase (AMP),b3399 or b2744 or b2361 or b0675,1 or 1 or 1 or 1 
PAPPT3,"Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",b0087,1
UAGPT3,UDP-N-acetylglucosamine-N-acetylmuramyl-(pentapeptide)pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,b0090,1
F6PA,Fructose 6-phosphate aldolase,b0825 or b3946,10 or 1 
AGMHE,ADP-D-glycero-D-manno-heptose epimerase,b3619,5
GMHEPAT,D-glycero-D-manno-hepose 1-phosphate adenyltransferase,b3052,2
IDOND,L-idonate 5-dehydrogenase,b4267,1
IDOND2,L-indonate 5-dehydrogenase (NADP),b4267,1
GLYCLTDx,Glycolate dehydrogenase (NAD),b3553 or b1033,2 or 1 
HPYRRy,Hydroxypyruvate reductase (NADPH),b1033 or b3553,1 or 2 
ACODA,Acetylornithine deacetylase,b3957,2
ADA,Adenosine deaminase,b1623,1
DADA,Deoxyadenosine deaminase,b1623,1
ADD,Adenine deaminase,b3665,2
ADSS,Adenylosuccinate synthase,b4177,2
AGDC,N-acetylglucosamine-6-phosphate deacetylase,b0677,4
ASNN,L-asparaginase,b1767 or b0828,4 or 1 
ASNS2,Asparagine synthetase,b3744 or b0674,2 or 2 
ASPCT,Aspartate carbamoyltransferase,( b4244 and b4245 ) or b4245,( 6 and 6 ) or 6 
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),b0029,2
MCOATA,Malonyl-CoA-ACP transacylase,b1094 and b1092,1 and 1 
